amr_id,task_id,sequence_order,segment_type,path_uid,sample_index,absolute_time,offset_time,x,y,theta,speed,footprint_radius
AMR1,T06,1,transition,vg::IN1__P2__path_1,47,4.7,4.7,4.047000000000001,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,7,4.7,0.7,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,3,4.74,0.3,3.0081879992793423,0.7084580061752883,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,12,4.789,1.2,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,48,4.8,4.8,4.147000000000001,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,8,4.8,0.8,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,4,4.84,0.4,3.017583999039124,0.6279440082337178,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,13,4.889,1.3,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,49,4.9,4.9,4.247000000000001,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,9,4.9,0.9,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,5,4.94,0.5,3.0269799987989043,0.5474300102921472,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,14,4.989,1.4,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,50,5.0,5.0,4.347,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,10,5.0,1.0,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,6,5.04,0.6,3.036375998558685,0.4669160123505766,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,15,5.089,1.5,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,51,5.1,5.1,4.3794,3.0306,-0.3088272000000016,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,11,5.1,1.1,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,7,5.14,0.7,3.0926719881712788,0.4391980029861723,-1.2597312721733054,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,16,5.189,1.6,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,52,5.2,5.2,4.4118,2.9612,-0.6176544000000005,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,12,5.2,1.2,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,8,5.24,0.8,3.158767986481461,0.4225120034127683,-1.0240771681980634,0.8099999792914542,0.25
