instance,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,empty_distance,loaded_distance,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info
tasks_n18_s0,m2,mixed,18,4,104.463,0,0,0,3.0,3.0,74.543889,74.543889,72.9,115.654,132.309,98.154,112.309,241.5248,7.564545,16.325679,4091.694444,636.08959,"{'level_values': {'missing': 0, 'f1_priority_late': 3.0, 'f1_late': 3.0, 'f2': 4091.69445, 'f3': 631.2352}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 104.461}"
tasks_n18_s0,m3,mixed,18,4,1.276,0,0,0,3.0,3.0,74.543889,74.543889,72.9,115.654,132.309,98.154,112.309,241.5248,7.564545,16.325679,4091.694444,636.08959,"{'solve_seconds': 1.276, 'local_search_iterations': 11}"
tasks_n18_s1,m1,mixed,18,4,1.218,0,0,0,6.0,4.0,85.259123,69.968951,72.380667,97.0,120.308,85.0,103.308,217.5696,2.991,18.612889,4319.056049,597.698489,{'solve_seconds': 1.218}
tasks_n18_s1,m2,mixed,18,4,104.478,0,0,0,3.0,2.0,63.197828,48.244192,69.953636,102.086,122.855,89.586,103.355,222.212,0.58,16.234624,3210.586869,588.73024,"{'level_values': {'missing': 0, 'f1_priority_late': 3.0, 'f1_late': 2.0, 'f2': 3224.36461, 'f3': 575.86396}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 104.475}"
tasks_n18_s1,m3,mixed,18,4,0.788,0,0,0,3.0,2.0,63.197828,48.244192,69.953636,102.086,122.855,89.586,103.355,222.212,0.58,16.234624,3210.586869,588.73024,"{'solve_seconds': 0.788, 'local_search_iterations': 6}"
tasks_n18_s2,m1,mixed,18,4,30.124,0,0,0,8.0,7.0,97.526103,94.031356,72.255556,112.985,122.452,99.485,106.452,235.4274,0.0,13.754321,5167.687991,598.94061,{'solve_seconds': 30.124}
tasks_n18_s2,m2,mixed,18,4,104.364,0,0,0,4.0,4.0,66.652751,66.652751,71.297889,109.435,123.204,94.935,106.204,230.5798,0.411,14.379556,3689.126987,593.245356,"{'level_values': {'missing': 0, 'f1_priority_late': 4.0, 'f1_late': 4.0, 'f2': 3704.435625, 'f3': 592.72629}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 104.362}"
tasks_n18_s2,m3,mixed,18,4,0.436,0,0,0,4.0,4.0,66.652751,66.652751,71.297889,109.435,123.204,94.935,106.204,230.5798,0.411,14.379556,3689.126987,593.245356,"{'solve_seconds': 0.436, 'local_search_iterations': 4}"
tasks_n24_s0,m1,mixed,24,4,8.196,0,0,0,9.0,7.0,240.929467,175.819578,104.574568,142.281,144.708,124.281,125.708,286.9306,23.664939,24.610224,11267.148406,817.594845,{'solve_seconds': 8.196}
tasks_n24_s0,m2,mixed,24,4,97.796,0,0,0,4.0,3.0,72.537567,57.5099,93.773951,144.888,144.708,125.888,125.708,288.5376,0.0,19.065668,3795.194759,768.970278,"{'level_values': {'missing': 0, 'f1_priority_late': 4.0, 'f1_late': 3.0, 'f2': 3811.01299, 'f3': 765.85063}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 97.793}"
tasks_n24_s0,m3,mixed,24,4,2.466,0,0,0,4.0,3.0,72.537567,57.5099,93.773951,144.888,144.708,125.888,125.708,288.5376,0.0,19.065668,3795.194759,768.970278,"{'solve_seconds': 2.466, 'local_search_iterations': 9}"
tasks_n24_s1,m1,mixed,24,4,0.383,0,0,1,11.0,8.0,346.243219,260.52733,107.180123,151.928,162.38,129.428,138.88,306.884,14.949081,26.706901,16133.743782,877.809012,{'solve_seconds': 0.383}
tasks_n24_s1,m2,mixed,24,4,99.586,0,0,0,7.0,5.0,247.924568,175.827346,102.694198,148.438,162.38,125.438,138.88,302.894,7.992818,30.179551,11467.754938,901.565511,"{'level_values': {'missing': 0, 'f1_priority_late': 7.0, 'f1_late': 5.0, 'f2': 11467.75496, 'f3': 896.756}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 99.583}"
tasks_n24_s1,m3,mixed,24,4,3.232,0,0,0,7.0,5.0,247.924568,175.827346,102.694198,148.438,162.38,125.438,138.88,302.894,7.992818,30.179551,11467.754938,901.565511,"{'solve_seconds': 3.232, 'local_search_iterations': 13}"
tasks_n24_s2,m1,mixed,24,4,0.635,0,0,0,13.0,9.0,429.34745,321.087047,127.07963,145.092,156.842,125.592,136.342,301.2024,35.171434,50.453074,19937.562593,1095.917141,{'solve_seconds': 0.635}
tasks_n24_s2,m2,mixed,24,4,29.3,0,0,0,4.0,4.0,137.089383,137.089383,104.41284,143.194,160.093,124.694,136.593,300.6056,0.857273,30.711284,7376.533333,894.10644,"{'level_values': {}, 'level_status': {'missing': 'no_solution(No Solution Found)'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 29.296}"
tasks_n24_s2,m3,mixed,24,4,2.824,0,0,0,4.0,4.0,137.089383,137.089383,104.41284,143.194,160.093,124.694,136.593,300.6056,0.857273,30.711284,7376.533333,894.10644,"{'solve_seconds': 2.824, 'local_search_iterations': 13}"
